id_producto,preio_mayoreo
2114,0
2114,0
2114,0
2115,19
2115,19
2115,19
2116,0
2116,0
2116,0
2117,21
2117,21
2117,21
2118,21
2118,21
2118,21
2119,21
2119,21
2119,21
2120,21
2120,21
2120,21
2121,21
2121,21
2121,21
2122,21
2122,21
2122,21
2123,0
2123,0
2123,0
2124,24.1667
2124,24.1667
2124,24.1667
2131,24.1667
2131,24.1667
2131,24.1667
2129,24.1667
2129,24.1667
2129,24.1667
2125,24.1667
2125,24.1667
2125,24.1667
2126,24.1667
2126,24.1667
2126,24.1667
2127,24.1667
2127,24.1667
2127,24.1667
2128,24.1667
2128,24.1667
2128,24.1667
2130,24.1667
2130,24.1667
2130,24.1667
3227,0
3227,0
3227,0
3228,14
3228,14
3228,14
3229,14
3229,14
3229,14
3230,14
3230,14
3230,14
3231,14
3231,14
3231,14
2132,22
2132,22
2132,22
2133,0
2133,0
2133,0
2932,25
3232,49.8333
3232,49.8333
3232,49.8333
3236,20
3236,20
3236,20
3237,20
3237,20
3237,20
3238,20
3238,20
3238,20
3239,20
3239,20
3239,20
3249,20
3249,20
3249,20
3240,20
3240,20
3240,20
3241,20
3241,20
3241,20
2134,0
2135,99
2136,99
2849,0
2938,26
2938,26
2938,26
3242,110
3243,110
3244,110
3245,110
3246,110
3247,110
3279,16
3279,16
3279,16
2137,0
2137,0
2137,0
2138,30
2138,30
2138,30
2139,30
2139,30
2139,30
2140,30
2140,30
2140,30
2141,30
2141,30
2141,30
2142,0
2142,0
2142,0
2143,25.5
2143,25.5
2143,25.5
2144,25.5
2144,25.5
2144,25.5
2145,25.5
2145,25.5
2145,25.5
2146,25.5
2146,25.5
2146,25.5
2147,10
2148,25.5
2148,25.5
2148,25.5
2149,25.5
2149,25.5
2149,25.5
2150,25.5
2150,25.5
2150,25.5
2151,25.5
2151,25.5
2151,25.5
2152,25.5
2152,25.5
2152,25.5
2153,25.5
2153,25.5
2153,25.5
2154,0
2154,0
2154,0
2155,39
2155,39
2155,39
2156,39
2156,39
2156,39
2157,39
2157,39
2157,39
2158,39
2158,39
2158,39
2159,39
2159,39
2159,39
2939,37
2939,37
2939,37
2161,0
2161,0
2161,0
2162,47
2162,47
2162,47
2163,47
2163,47
2163,47
2164,47
2164,47
2164,47
2165,0
2166,60
2167,70
2933,60
2168,0
2169,12
2170,0
2171,0
2172,0
2173,12
2174,0
2175,0
2176,12
2177,10
2107,0
2107,0
2107,0
3233,12
3234,0
3235,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2226,0
2226,0
2227,7
2227,7
2227,7
2228,7
2228,7
2228,7
2229,10
2229,10
2229,10
2230,7
2230,7
2230,7
2231,7
2231,7
2231,7
2232,7
2232,7
2232,7
2233,10
2233,10
2233,10
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,15
2241,15
2242,15
2243,15
2244,0
2244,0
2244,0
2245,14
2245,14
2245,14
2246,14
2246,14
2246,14
2247,0
