ID de Producto,Ubicación de almacén
3079,J-37
3106,K-11 J-38
3143,K-12
3144,K-12
3145,K-12 
3127,K-14
3152,K-14
2694,K-15
2697,K-15
2698,K-15
2704,K-15
2705,K-15
2706,K-15
2910,K-15
2700,K-16
2702,K-16
2703,K-16
2707,K-16
3221,K-16
2758,K-19
2759,K-19
2947,K-19
2762,K-19
3253,K-20
2760,K-20
2767,K-20
2768,K-20
2769,K-20
3212,K-21
2655,K-21
2761,K-21 K-30
3213,K-22
3049,K-23
3053,K-23
3211,K-24
3009,K-26
3010,K-26
3008,K-27
2695,K28
1917,K-29
2687,K-29
2542,K-29
3220,K-30
1914,K-33
1913,K-34
1995,K-34
1908,K-35
1909,K-35
3023,K-35
1906,K-36
1907,K-36
1904,K-37
1905,K-37
2699,K-37
1901,K-38
1902,K-38
1903,K-38
3081,L-11
3223,L-11
2685,L-12
3061,L-12 L-13
3048,L-14
3046,L-15
3047,L-15
3219,L-15
3004,L-16
3045,L-19 L-20
3011,L-20
2693,L-21
3034,L-21
3035,L-21
3016,L-22
3012,L-23
3015,L-23
2217,L-25
2911,L-25
2914,L-25
3224,L-25
2208,L-26
2216,L-26
2913,L-26
2915,L-26
2912,L-26  L-29
2916,L-26  L-29
2207,L-27
2209,L-27
2210,L-27
2211,L-28
2213,L-28
2215,L-29
2218,L-29
2326,L-29
2328,L-30
2330,L-30
2332,L-30
2333,L-30
3177,L-31
3142,L-31 L-32
3141,L-32
3140,L-33
3251,L-34
3252,L-34
3125,L-35
3250,L-35
3124,L-36
3112,L-36 L-37
3111,L-38
3070,M -30
3222,M-11
2507,M-12
2509,M-12
2510,M-12
2517,M-12
3057,M-12
2511,M-13
2512,M-13
2520,M-13
2531,M-13
2533,M-14
2535,M-14
2819,M-14
2820,M-14
2821,M-15
2822,M-15
2823,M-16
2824,M-16
2825,M-17
2827,M-17
2828,M-17
2829,M-18
2950,M-18
3051,M-18
3134,M-18
3135,M-18
3136,M-19
3137,M-19
3138,M-19
3139,M-19
2519,M-20
2949,M-20
3265,M-21
3266,M-21
3267,M-21
2518,M-22
3268,M-22
2325,M-23
2327,M-23
2331,M-23
2455,M-27
2786,M-27
2785,M-28
2787,M-28
3073,M-28
2784,M-29
3068,M-29
3084,M-30
3071,M-31
3072,M-31
3085,M-32
3067,M-33
2778,M-34
2782,M-34
2781,M-35
3069,M-35
3062,M-36
3064,M-36
3065,M-36
3066,M-36
2776,M-37
3063,M-37
2598,M-38
2597,N-11
2473,N-12
3006,N-13
2475,N-14
2795,N-14
2471,N-15
2797,N-15
2474,N-16
3077,N-17
2794,N-17
3076,N-18  N-19
3075,N-19
2793,N-20
3005,N-20
3074,N-20
2790,N-21
2464,N-22  N-23
2804,N-29  N-30
2476,N-31
2799,N-32
2802,N-33
2801,N-34
2796,N-35  N-35
2798,N-37
2334,O-11
3282,O-12
2808,O-12
3281,O-13
3280,O-14
2806,O-14  O-13
2389,O-18
2458,O-18
2393,O-18
2400,O-18
2412,O-19
2418,O-19
2422,O-19
2434,O-19
2413,O-20
2423,O-20
2424,O-20
2426,O-20
2428,O-20
2415,O-21
2427,O-21
2429,O-21
2430,O-21
2431,O-21
2436,O-22
2439,O-22
2433,O-22
2440,O-23
2441,O-23
2442,O-23
2443,O-23
2480,O-26
2481,O-27
2485,O-27  O-28  O-29
2486,O-30
2813,O-31
2495,O-31  O-32  O-33
2944,O-34
2497,O-34
2815,O-35
2489,O-36
3277,O-37
2482,O-38
2484,O-38
2810,O-38
2496,O-38
2498,O-38
2817,O-38
